iter	RMSE
0	0.01792076166
1	0.01786040493
2	0.01780498823
3	0.0177478782
4	0.01770146122
5	0.01765141056
6	0.01760584666
7	0.01755129545
8	0.0175067356
9	0.01747055497
10	0.01741414891
11	0.01738400672
12	0.01733930314
13	0.01727786168
14	0.01722536479
15	0.01716786938
16	0.0171258781
17	0.01709565349
18	0.01705651781
19	0.01700703036
20	0.01697968209
21	0.01693927194
22	0.01690324361
23	0.0168584715
24	0.01682066064
25	0.0167759717
26	0.01673201787
27	0.01669671362
28	0.01664352546
29	0.01660026929
30	0.01655590047
31	0.01654058712
32	0.01650453234
33	0.016473772
34	0.01643492327
35	0.01639545337
36	0.01633188229
37	0.01628573412
38	0.01627050185
39	0.0162452762
40	0.01621340425
41	0.01615938572
42	0.01612707418
43	0.01610794022
44	0.01607655676
45	0.01603559141
46	0.01598883638
47	0.01596508917
48	0.01594681592
49	0.01590852665
50	0.01589042137
51	0.01586528485
52	0.01583854056
53	0.01577999951
54	0.0157360972
55	0.01569635258
56	0.01564597176
57	0.01560877846
58	0.01557265371
59	0.01554426607
60	0.01550330003
61	0.01546698082
62	0.01544489353
63	0.01541612561
64	0.01537051678
65	0.01534191922
66	0.01531002981
67	0.01528076542
68	0.01522921001
69	0.01519835537
70	0.01516217619
71	0.01514672416
72	0.01510633817
73	0.01506951578
74	0.01504354609
75	0.01502507472
76	0.01500005187
77	0.01497283376
78	0.01493233112
79	0.01491841373
80	0.01488809476
81	0.01486943809
82	0.01483652333
83	0.01481622446
84	0.01479766954
85	0.01474544074
86	0.01470949021
87	0.01467717421
88	0.01463576401
89	0.01461145702
90	0.01456169719
91	0.01454807096
92	0.0145189862
93	0.01448997102
94	0.01445944333
95	0.01443764527
96	0.01441409266
97	0.01440454084
98	0.01437582125
99	0.01435608678
100	0.01432077352
101	0.01429728504
102	0.01427294087
103	0.01424087552
104	0.0142153128
105	0.01418091479
106	0.01416489032
107	0.01410560391
108	0.01407525228
109	0.0140307221
110	0.01400266714
111	0.01397276889
112	0.01392677936
113	0.01391387507
114	0.01387746445
115	0.01385338207
116	0.01383779159
117	0.0137986583
118	0.01377622974
119	0.01375515413
120	0.01373315127
121	0.01369833465
122	0.01368250527
123	0.01365844913
124	0.01363559989
125	0.01361631459
126	0.0135721783
127	0.01354805869
128	0.01353031272
129	0.01350747157
130	0.01346271971
131	0.01344903741
132	0.01342202572
133	0.01339489392
134	0.01337400812
135	0.01335493226
136	0.01333306178
137	0.01330347373
138	0.01328287374
139	0.01324557759
140	0.01322746682
141	0.01320333045
142	0.01317564296
143	0.01315239476
144	0.01312584509
145	0.01308753888
146	0.01305386653
147	0.01302913333
148	0.01299083044
149	0.01297910511
150	0.01293879628
151	0.01289978916
152	0.0128812462
153	0.01284932917
154	0.0128050503
155	0.01277998734
156	0.01276292007
157	0.01275112833
158	0.0127328764
159	0.01269925843
160	0.01268748834
161	0.01264151116
162	0.01263308156
163	0.0126187575
164	0.01257596379
165	0.01254620752
166	0.01253091518
167	0.0125176224
168	0.01249330395
169	0.01245231878
170	0.01242472343
171	0.01240335302
172	0.01239756307
173	0.01237611084
174	0.01234409221
175	0.01232072915
176	0.01231429025
177	0.01230313094
178	0.01229506856
179	0.0122786001
180	0.01225460656
181	0.01224385759
182	0.01221283271
183	0.0121996946
184	0.01218995803
185	0.01217186395
186	0.0121623785
187	0.01214673734
188	0.01212555879
189	0.01209464823
190	0.01207479135
191	0.01207189218
192	0.01204089167
193	0.01203577198
194	0.01202258761
195	0.01199674761
196	0.01196958882
197	0.01192750602
198	0.01191181293
199	0.0118793734
200	0.01187547968
201	0.01186653133
202	0.01183114217
203	0.0118125133
204	0.01178460604
205	0.01177940353
206	0.01175866419
207	0.0117314495
208	0.01171526133
209	0.01167666418
210	0.01165283314
211	0.01162267356
212	0.01159782195
213	0.01157971039
214	0.01156112832
215	0.01155649808
216	0.01155205477
217	0.0115256426
218	0.01151385831
219	0.01149782177
220	0.01147671194
221	0.01143136021
222	0.01140730824
223	0.01139472517
224	0.01139031649
225	0.01136244619
226	0.01135587996
227	0.01135287537
228	0.0113048992
229	0.01129466728
230	0.01127355152
231	0.01125125282
232	0.01124703566
233	0.01121174649
234	0.01120676047
235	0.01120216622
236	0.01118227361
237	0.0111389155
238	0.01110952122
239	0.0110816582
240	0.01107810582
241	0.01105798342
242	0.01103209976
243	0.01102526025
244	0.01100705388
245	0.01100270545
246	0.01099468217
247	0.01097107517
248	0.01096330494
249	0.01094823844
250	0.01092423077
251	0.01088610082
252	0.01086762206
253	0.01084769013
254	0.0108173238
255	0.01080937121
256	0.01079589807
257	0.01078959636
258	0.01077231977
259	0.01074432019
260	0.01074135204
261	0.01072369621
262	0.01070468679
263	0.01068116852
264	0.0106710006
265	0.01064299198
266	0.01062330188
267	0.01061489653
268	0.01057666801
269	0.0105590389
270	0.01054376314
271	0.0105162453
272	0.01051343064
273	0.01050702625
274	0.01047563518
275	0.0104546572
276	0.01045187261
277	0.01044166302
278	0.01042298
279	0.0104158162
280	0.01040955994
281	0.01040702203
282	0.01038085127
283	0.01034830353
284	0.01034423592
285	0.01033078623
286	0.01030264816
287	0.01030071346
288	0.01029736629
289	0.01027324103
290	0.01023831494
291	0.01021899014
292	0.01019326862
293	0.01018981748
294	0.01017365432
295	0.01016023726
296	0.01015745836
297	0.01014359822
298	0.01012067841
299	0.01010236299
300	0.01010010812
301	0.01009786476
302	0.0100961033
303	0.01008154683
304	0.01007831285
305	0.0100536518
306	0.01002955226
307	0.01001941626
308	0.009993717313
309	0.009971572141
310	0.009955626596
311	0.009942603197
312	0.009919914193
313	0.009918269644
314	0.009904211208
315	0.009878474124
316	0.009843271553
317	0.009809798908
318	0.009798634115
319	0.009796307282
320	0.009783128448
321	0.009759060579
322	0.009747962834
323	0.009740578537
324	0.009729477052
325	0.009717290051
326	0.009692135258
327	0.009671667562
328	0.009670320839
329	0.00966819777
330	0.009657568083
331	0.00963059447
332	0.009607527225
333	0.009587099948
334	0.009585364124
335	0.009583329223
336	0.009568598858
337	0.009559320962
338	0.009544236691
339	0.009527969742
340	0.009526193531
341	0.009501813773
342	0.009499943506
343	0.009477431629
344	0.009467325759
345	0.009454522642
346	0.009441415853
347	0.00941030314
348	0.00938848479
349	0.009373037875
350	0.00936780562
351	0.009351599339
352	0.00934708505
353	0.009331424895
354	0.009307505949
355	0.00929222672
356	0.009279595265
357	0.009277278206
358	0.009269150727
359	0.009252990079
360	0.009247882754
361	0.009246245083
362	0.009227070361
363	0.009218774698
364	0.009210155014
365	0.009181380682
366	0.009171543186
367	0.009168428729
368	0.00914285608
369	0.009138552612
370	0.009137636127
371	0.009119948306
372	0.009110283034
373	0.009091917814
374	0.009083839886
375	0.009082350093
376	0.009068179968
377	0.009059261154
378	0.009047682285
379	0.009035567165
380	0.0090102526
381	0.008981633753
382	0.008955035041
383	0.008942775241
384	0.008927559907
385	0.008918514143
386	0.008892547155
387	0.008874505017
388	0.008850370095
389	0.008828439743
390	0.008814752134
391	0.008795218
392	0.008779337536
393	0.008765241421
394	0.008735292841
395	0.008713872751
396	0.008709848212
397	0.008707978917
398	0.008690051337
399	0.008676550414
400	0.008657288279
401	0.008647724395
402	0.008627801373
403	0.008621689136
404	0.008611700382
405	0.008606209409
406	0.008592432744
407	0.008575456382
408	0.008569505359
409	0.008563817566
410	0.008544633306
411	0.008519626084
